2026-07-06 17:23:26,070 | INFO  | train | source: data/gestures-20260706-151046.jsonl
2026-07-06 17:23:26,070 | INFO  | train | run dir: logger/20260706-172326
2026-07-06 17:23:26,147 | INFO  | train | loaded GestureDataset(n=612, n_features=12, class_counts={'LEFT_HAND': 290, 'RIGHT_HAND': 322})
2026-07-06 17:23:26,149 | INFO  | train | training DecisionTree...
2026-07-06 17:23:26,388 | INFO  | train | training RandomForest...
2026-07-06 17:23:26,478 | INFO  | train | training NaiveBayes...
2026-07-06 17:23:26,481 | INFO  | train | training MLP...
2026-07-06 17:23:28,305 | INFO  | train | training kNN...
2026-07-06 17:23:28,308 | INFO  | train | saved 5 model(s) to logger/20260706-172326/models/
2026-07-06 17:23:28,308 | INFO  | train |   DecisionTree   -> logger/20260706-172326/models/DecisionTree.joblib
2026-07-06 17:23:28,308 | INFO  | train |   RandomForest   -> logger/20260706-172326/models/RandomForest.joblib
2026-07-06 17:23:28,308 | INFO  | train |   NaiveBayes     -> logger/20260706-172326/models/NaiveBayes.joblib
2026-07-06 17:23:28,308 | INFO  | train |   MLP            -> logger/20260706-172326/models/MLP.joblib
2026-07-06 17:23:28,308 | INFO  | train |   kNN            -> logger/20260706-172326/models/kNN.joblib
2026-07-06 17:23:28,308 | INFO  | train | run saved: logger/20260706-172326 (latest -> logger/latest)
